time,pitch,force,vel_a,vel_b
1776095456.8542972,,,0.0,0.0
1776095456.8568106,,,0.0,0.0
1776095456.8592806,,,0.0,0.0
1776095456.861802,,,0.0,0.0
1776095456.8643034,,,0.0,0.0
1776095456.8668172,,,0.0,0.0
1776095456.8692992,,,0.0,0.0
1776095456.8718138,,,0.0,0.0
1776095456.8743024,,,0.0,0.0
1776095456.8768213,,,0.0,0.0
1776095456.8793051,,,0.0,0.0
1776095456.8818152,,,0.0,0.0
1776095456.8843582,,,0.0,0.0
1776095456.8868475,,,0.0,0.0
1776095456.889302,,,0.0,0.0
1776095456.891825,,,0.0,0.0
1776095456.8943255,,,0.0,0.0
1776095456.8968115,,,0.0,0.0
1776095456.899304,,,0.0,0.0
1776095456.9018042,,,0.0,0.0
1776095456.904255,,,0.0,0.0
1776095456.906788,,,0.0,0.0
1776095456.9092782,,,0.0,0.0
1776095456.911813,,,0.0,0.0
1776095456.9142923,,,0.0,0.0
1776095456.91682,,,0.0,0.0
1776095456.9192896,,,0.0,0.0
1776095456.9218082,,,0.0,0.0
1776095456.9242964,,,0.0,0.0
1776095456.9268048,,,0.0,0.0
1776095456.9294198,,,0.0,0.0
1776095456.9318357,,,0.0,0.0
1776095456.9342887,,,0.0,0.0
1776095456.9367929,,,0.0,0.0
1776095456.9392877,,,0.0,0.0
1776095456.941816,,,0.0,0.0
1776095456.9442873,,,0.0,0.0
1776095456.9468756,,,0.0,0.0
1776095456.9492815,,,0.0,0.0
1776095456.9518538,,,0.0,0.0
1776095456.9542658,,,0.0,0.0
1776095456.956785,,,0.0,0.0
1776095456.959263,,,0.0,0.0
1776095456.9618378,,,0.0,0.0
1776095456.964315,,,0.0,0.0
1776095456.9668088,,,0.0,0.0
1776095456.9693081,,,0.0,0.0
1776095456.971827,,,0.0,0.0
1776095456.9743128,,,0.0,0.0
1776095456.9768627,,,0.0,0.0
1776095456.979314,,,0.0,0.0
1776095456.9818146,,,0.0,0.0
1776095456.9843023,,,0.0,0.0
1776095456.986822,,,0.0,0.0
1776095456.9893281,,,0.0,0.0
1776095456.991818,,,0.0,0.0
1776095456.994302,,,0.0,0.0
1776095456.9968643,,,0.0,0.0
1776095456.9992988,,,0.0,0.0
1776095457.0018039,,,0.0,0.0
1776095457.0042837,,,0.0,0.0
1776095457.0068235,,,0.0,0.0
1776095457.0092938,,,0.0,0.0
1776095457.0117962,,,0.0,0.0
1776095457.0142856,,,0.0,0.0
1776095457.016786,,,0.0,0.0
1776095457.0192838,,,0.0,0.0
1776095457.0218065,,,0.0,0.0
1776095457.02429,,,0.0,0.0
1776095457.0268345,,,0.0,0.0
1776095457.0293124,,,0.0,0.0
1776095457.0318553,,,0.0,0.0
1776095457.034284,,,0.0,0.0
1776095457.0368228,,,0.0,0.0
1776095457.039282,,,0.0,0.0
1776095457.0418003,,,0.0,0.0
1776095457.0442884,,,0.0,0.0
1776095457.046826,,,0.0,0.0
1776095457.0492861,,,0.0,0.0
1776095457.0518036,,,0.0,0.0
1776095457.0542815,,,0.0,0.0
1776095457.056788,,,0.0,0.0
1776095457.0592792,,,0.0,0.0
1776095457.061803,,,0.0,0.0
1776095457.0642922,,,0.0,0.0
1776095457.0668564,,,0.0,0.0
1776095457.0693412,,,0.0,0.0
1776095457.0718331,,,0.0,0.0
1776095457.0743322,,,0.0,0.0
1776095457.0768185,,,0.0,0.0
1776095457.0792878,,,0.0,0.0
1776095457.081796,,,0.0,0.0
1776095457.0842822,,,0.0,0.0
1776095457.0868335,,,0.0,0.0
1776095457.0893188,,,0.0,0.0
1776095457.0918398,,,0.0,0.0
1776095457.094333,,,0.0,0.0
1776095457.0968444,,,0.0,0.0
1776095457.0993185,,,0.0,0.0
1776095457.1018121,,,0.0,0.0
1776095457.104407,,,0.0,0.0
1776095457.106791,,,0.0,0.0
1776095457.1094613,,,0.0,0.0
1776095457.1118703,,,0.0,0.0
1776095457.1142883,,,0.0,0.0
1776095457.116799,,,0.0,0.0
1776095457.1192908,,,0.0,0.0
1776095457.1217911,,,0.0,0.0
1776095457.1243145,,,0.0,0.0
1776095457.1268125,,,0.0,0.0
