time,pitch,force,vel_a,vel_b
1776099035.195861,0.00022056658472255973,,,
1776099035.1962557,,-0.002405936754671722,,
1776099035.1966047,,,0.0,0.0
1776099035.1988385,,,0.0,0.0
1776099035.2004316,0.0002447793644143745,,,
1776099035.2009628,,-0.007686512959195041,,
1776099035.2014458,,,0.0,0.0
1776099035.2038937,,,0.0,0.0
1776099035.2054038,0.00025038582071201527,,,
1776099035.2058487,,-0.004467863883281868,,
1776099035.206617,,,0.0,0.0
1776099035.2089915,,,0.0,0.0
1776099035.2106059,0.0002602374757654747,,,
1776099035.210819,,-0.005597514880873532,,
1776099035.211883,,,0.0,0.0
1776099035.2141504,,,0.0,0.0
1776099035.2158184,0.00028722163426770926,,,
1776099035.216274,,-0.0038722688736493524,,
1776099035.2166588,,,0.0,0.0
1776099035.2198594,,,0.0,0.0
1776099035.2212944,0.00036186091654132475,,,
1776099035.2222507,,,0.0,0.0
1776099035.222333,,-0.010161375129808683,,
1776099035.2240121,,,0.0,0.0
1776099035.2260568,0.0004236874032797624,,,
1776099035.226445,,,0.0,0.0
1776099035.2269874,,-0.008067126662711449,,
1776099035.2289166,,,0.0,0.0
1776099035.2308981,0.0004416272132559598,,,
1776099035.2317553,,-0.007493304965712921,,
1776099035.231803,,,0.0,0.0
1776099035.2339113,,,0.0,0.0
1776099035.2353756,0.0004883735897360608,,,
1776099035.235863,,-0.009627312647986696,,
1776099035.2364485,,,0.0,0.0
1776099035.2389452,,,0.0,0.0
1776099035.2408328,0.0005082299090170478,,,
1776099035.241239,,-0.011090288058203553,,
1776099035.2416155,,,0.0,0.0
1776099035.2439327,,,0.0,0.0
1776099035.24545,0.0004823848946520879,,,
1776099035.245853,,-0.008175227465560844,,
1776099035.2464354,,,0.0,0.0
1776099035.2489395,,,0.0,0.0
1776099035.2505987,0.0004419412482987921,,,
1776099035.251094,,-0.009764514843838439,,
1776099035.2516584,,,0.0,0.0
1776099035.2539976,,,0.0,0.0
1776099035.2558367,0.00046003940829659925,,,
1776099035.2565355,,,0.0,0.0
1776099035.2565944,,-0.01012647804379458,,
1776099035.258927,,,0.0,0.0
1776099035.2609258,0.0004924205687915057,,,
1776099035.2614179,,,0.0,0.0
1776099035.2614741,,-0.009175327716797035,,
1776099035.26392,,,0.0,0.0
1776099035.2655852,0.0005729799060095997,,,
1776099035.2665958,,,0.0,0.0
1776099035.266642,,-0.013717599278800986,,
1776099035.2689054,,,0.0,0.0
1776099035.2706366,0.0006011853307367216,,,
1776099035.2709982,,-0.014281707773343423,,
1776099035.2716782,,,0.0,0.0
1776099035.2739234,,,0.0,0.0
1776099035.2755954,0.0007236759594843299,,,
1776099035.2760894,,-0.014200128914877437,,
1776099035.2765968,,,0.0,0.0
1776099035.2790856,,,0.0,0.0
1776099035.2810519,0.0008250488456711409,,,
1776099035.281804,,,0.0,0.0
1776099035.2818685,,-0.015294968742091181,,
1776099035.284098,,,0.0,0.0
1776099035.285885,0.0008963841282531595,,,
1776099035.2864003,,-0.01778752341832867,,
1776099035.2864513,,,0.0,0.0
1776099035.2889917,,,0.0,0.0
1776099035.2908611,0.0009267404984133316,,,
1776099035.2909176,,-0.01932726871805459,,
1776099035.2914634,,,0.0,0.0
1776099035.294035,,,0.0,0.0
1776099035.2957473,0.0010043132254998893,,,
1776099035.2964761,,-0.020745492131711105,,
1776099035.29655,,,0.0,0.0
1776099035.2990506,,,0.0,0.0
1776099035.3006654,0.000981562884375397,,,
1776099035.3014748,,-0.01589385808275815,,
1776099035.3015804,,,0.0,0.0
1776099035.303941,,,0.0,0.0
1776099035.3055623,0.0009490202447098529,,,
1776099035.305867,,-0.01910670800361182,,
1776099035.306527,,,0.0,0.0
1776099035.308936,,,0.0,0.0
1776099035.3105257,0.0008923138707344687,,,
1776099035.3111932,,-0.01917166067677589,,
1776099035.311704,,,0.0,0.0
1776099035.3139536,,,0.0,0.0
1776099035.3159072,0.0008443251909461868,,,
1776099035.316376,,-0.016613113544114575,,
1776099035.316418,,,0.0,0.0
1776099035.3188932,,,0.0,0.0
1776099035.3206615,0.0008532701532184583,,,
1776099035.3214133,,-0.016925243917634645,,
1776099035.3214576,,,0.0,0.0
1776099035.3238869,,,0.0,0.0
1776099035.3253663,0.0008452501590257191,,,
1776099035.3261135,,-0.01783069305837698,,
1776099035.3264494,,,0.0,0.0
1776099035.3290448,,,0.0,0.0
1776099035.330876,0.0008614459872487163,,,
1776099035.3316183,,,0.0,0.0
1776099035.3316627,,-0.015223524805194854,,
1776099035.3339205,,,0.0,0.0
1776099035.3357368,0.0008835606518825673,,,
1776099035.3362584,,-0.019662751940111058,,
1776099035.3370752,,,0.0,0.0
1776099035.3389251,,,0.0,0.0
1776099035.3406413,0.0009213975733600465,,,
1776099035.3410609,,-0.01855425457661569,,
1776099035.341894,,,0.0,0.0
1776099035.3439536,,,0.0,0.0
1776099035.3455462,0.0009260147362912681,,,
1776099035.346242,,-0.017980442194866927,,
1776099035.3467827,,,0.0,0.0
1776099035.348914,,,0.0,0.0
1776099035.3503895,0.0009425238697513742,,,
1776099035.3510344,,-0.01977616727289008,,
1776099035.351454,,,0.0,0.0
1776099035.3539264,,,0.0,0.0
1776099035.3554342,0.000897324009007663,,,
1776099035.3562021,,-0.01820601441764266,,
1776099035.3566105,,,0.0,0.0
1776099035.3589506,,,0.0,0.0
1776099035.3605928,0.0008506535532282304,,,
1776099035.3614671,,-0.017805529814352565,,
1776099035.3618827,,,0.0,0.0
1776099035.3639264,,,0.0,0.0
1776099035.3655212,0.0007640265016341224,,,
1776099035.366602,,-0.016206219910545043,,
1776099035.3666682,,,0.0,0.0
1776099035.3689158,,,0.0,0.0
1776099035.3706605,0.000673656060522252,,,
1776099035.3711746,,-0.0135994243198598,,
1776099035.3715763,,,0.0,0.0
1776099035.3739433,,,0.0,0.0
1776099035.375559,0.0006664150905451445,,,
1776099035.376217,,-0.014120760560690846,,
1776099035.376639,,,0.0,0.0
1776099035.3789265,,,0.0,0.0
1776099035.3805177,0.0007291268289062842,,,
1776099035.3811483,,-0.016041150968286837,,
1776099035.3819046,,,0.0,0.0
1776099035.3839662,,,0.0,0.0
1776099035.386071,0.000796046081436999,,,
1776099035.3864255,,,0.0,0.0
1776099035.3871448,,-0.01618045586622938,,
1776099035.3889227,,,0.0,0.0
1776099035.3904035,0.0009079264221631932,,,
1776099035.3907864,,-0.019883605089574298,,
1776099035.3915584,,,0.0,0.0
1776099035.3939157,,,0.0,0.0
1776099035.3953643,0.0010712530257078784,,,
1776099035.396151,,-0.020751976855124487,,
1776099035.3965235,,,0.0,0.0
1776099035.3989332,,,0.0,0.0
1776099035.4007447,0.0012091341534319726,,,
1776099035.4014244,,,0.0,0.0
1776099035.4015398,,-0.02497514181842741,,
1776099035.403936,,,0.0,0.0
1776099035.4055414,0.0012718761807397057,,,
1776099035.4061906,,-0.02716260026110455,,
1776099035.4066467,,,0.0,0.0
1776099035.4089203,,,0.0,0.0
1776099035.4104726,0.001335532171916345,,,
1776099035.411237,,-0.025371404138920625,,
1776099035.4116242,,,0.0,0.0
1776099035.4139273,,,0.0,0.0
1776099035.4153287,0.0013013598529859132,,,
1776099035.416109,,-0.02695288693758086,,
1776099035.416615,,,0.0,0.0
1776099035.4189126,,,0.0,0.0
1776099035.4204662,0.001238225198320952,,,
1776099035.4209447,,-0.02542373158813236,,
1776099035.4215527,,,0.0,0.0
1776099035.4239252,,,0.0,0.0
1776099035.4263093,0.0011366805409964466,,,
1776099035.4268253,,,0.0,0.0
1776099035.4268742,,-0.02325960731356761,,
1776099035.4289277,,,0.0,0.0
1776099035.4302878,0.0011037088996857607,,,
1776099035.4308589,,-0.022600174487353894,,
1776099035.4315147,,,0.0,0.0
1776099035.4340084,,,0.0,0.0
1776099035.4353662,0.001103477708704565,,,
1776099035.4365072,,-0.0216629327712075,,
1776099035.4375567,,,0.0,0.0
1776099035.4390082,,,0.0,0.0
1776099035.4416993,,,0.0,0.0
1776099035.4428577,0.0011551468322303527,,,
1776099035.4428737,,-0.02296277749787253,,
1776099035.445593,,,0.0,0.0
1776099035.446169,0.0011313918719996878,,,
1776099035.446584,,,0.0,0.0
1776099035.4466875,,-0.020489211372139642,,
1776099035.448936,,,0.0,0.0
1776099035.450777,0.0010536386403489418,,,
